"snapshot_id","entity_id","vehicle_id","vehicle_label","trip_id","route_id","current_stop_id","previous_stop_id","next_stop_id","next_stop_sequence","status","latitude","longitude"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_RG1-25639","25639","RG1-25639-PLATF.(4)","5123L25639R1","51T0001R1","79603","79602","79604",22,"STOPPED_AT",NULL,NULL
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R8-78648","78648","R8-78648","5123L78648R8","51T0024R8","72501","72502","72210",8,"IN_TRANSIT_TO","41.476685","2.0219116"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R8-78616","78616","R8-78616","5123L78616R8","51T0023R8","72508","72503","79006",7,"STOPPED_AT","41.526154","2.1863635"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R7-77841","77841","R7-77841","5123L77841R7","51T0029R7","78802",NULL,"78801",2,"INCOMING_AT","41.43092","2.1829133"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R7-77839","77839","R7-77839","5123L77839R7","51T0029R7","78706","78707","72503",7,"IN_TRANSIT_TO","41.500404","2.1370006"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R7-77834","77834","R7-77834","5123L77834R7","51T0030R7","72503",NULL,"78706",2,"INCOMING_AT","41.497128","2.1152449"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R7-77832","77832","R7-77832","5123L77832R7","51T0030R7","78801","78800","78802",7,"STOPPED_AT","41.46098","2.1810312"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77981","77981","R4-77981-PLATF.(1)","5123L77981R4","51T0019R4","78708","78800","78707",10,"INCOMING_AT","41.48388","2.1847994"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77974","77974","R4-77974","5123L77974R4","51T0020R4","78708","78707","78800",10,"IN_TRANSIT_TO","41.47251","2.181982"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_R4-77742","77742","R4-77742-PLATF.(2)","5123L77742R4","51T0020R4","78700",NULL,"78710",2,"INCOMING_AT","41.56993","2.0143688"
