"service_id","date","exception_type"
"997-2476","20251218","1"
"997-2476","20251222","1"
"997-2476","20251223","1"
"997-2476","20251224","1"
"997-2476","20251229","1"
"997-2476","20251230","1"
"997-2491","20251231","1"
"997-2514","20251219","1"
"997-2516","20251220","1"
"997-2516","20251227","1"
"997-2526","20251225","1"
"997-2526","20251226","1"
"997-2527","20251221","1"
"997-2527","20251228","1"
"997-7d6130b59d8f982afd72","20260101","1"
"997-merged_0fe09552445f1d0c2f1a","20251226","1"
"997-merged_1ca9ea1137b3211202e7","20251218","1"
"997-merged_23077f11cb7fc3483e71","20251226","1"
"997-merged_252f999e9f62d8411e84","20251219","1"
"997-merged_252f999e9f62d8411e84","20251231","1"
"997-merged_3c5a565e04b9401be534","20251219","1"
"997-merged_499626346f23e4eabdab","20251218","1"
"997-merged_5bc3589f1b7ce419bfba","20251231","1"
"997-merged_65dea03255d17bc4774a","20251218","1"
"997-merged_c71aba43e390ca4bfe61","20251218","1"
"997-merged_c71aba43e390ca4bfe61","20251219","1"
"997-merged_caeecf4383196144f1c9","20251218","1"
"997-merged_caeecf4383196144f1c9","20251219","1"
"997-merged_d3cf16e88f0675e03aef","20251218","1"
"997-merged_d3cf16e88f0675e03aef","20251219","1"
