"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"997-5","41.37936","2.053356","0","0"
"997-5","41.379575","2.054318","1","83.7"
"997-5","41.379656","2.05504","2","144.7"
"997-5","41.379648","2.055327","3","168.6"
"997-5","41.379692","2.05585","4","212.5"
"997-5","41.379706","2.059827","5","544.4"
"997-5","41.379829","2.065205","6","993.3"
"997-5","41.3798","2.065776","7","1041"
"997-5","41.379748","2.066373","8","1091.2"
"997-5","41.379196","2.071578","9","1529.8"
"997-5","41.378747","2.075539","10","1864"
"997-5","41.378716","2.075925","11","1896.4"
"997-5","41.378654","2.076175","12","1918.4"
"997-5","41.37859","2.076278","13","1929.5"
"997-5","41.378412","2.076387","14","1951.3"
"997-5","41.376307","2.077417","15","2200.6"
"997-5","41.37617","2.077466","16","2216.4"
"997-5","41.37606","2.077464","17","2228.6"
"997-5","41.375914","2.077395","18","2245.9"
"997-5","41.375823","2.077277","19","2260"
"997-5","41.375779","2.077163","20","2270.7"
"997-5","41.375675","2.076684","21","2312.3"
"997-5","41.37563","2.076545","22","2324.9"
"997-5","41.375575","2.076436","23","2335.9"
"997-5","41.375442","2.076284","24","2355.4"
"997-5","41.375306","2.076202","25","2372"
"997-5","41.374172","2.075759","26","2503.4"
"997-5","41.374021","2.075686","27","2521.2"
"997-5","41.37389","2.075591","28","2537.8"
"997-5","41.373263","2.075023","29","2622.1"
"997-5","41.373103","2.074954","30","2640.8"
"997-5","41.372955","2.07496","31","2657.3"
"997-5","41.372846","2.075008","32","2670"
"997-5","41.372723","2.075121","33","2686.7"
"997-5","41.371778","2.076598","34","2848.6"
"997-5","41.371734","2.076648","35","2855.1"
"997-5","41.371559","2.076736","36","2875.8"
"997-5","41.371479","2.07681","37","2886.7"
"997-5","41.371008","2.077463","38","2962.3"
"997-5","41.370571","2.077996","39","3028.1"
"997-5","41.37009","2.078481","40","3095.2"
"997-5","41.369743","2.078911","41","3147.9"
"997-5","41.369628","2.079029","42","3164"
"997-5","41.369248","2.079317","43","3212.6"
"997-5","41.368765","2.079636","44","3272.6"
"997-5","41.368705","2.079724","45","3282.5"
"997-5","41.368666","2.079833","46","3292.6"
"997-5","41.368666","2.080012","47","3307.5"
"997-5","41.368713","2.080148","48","3320"
"997-5","41.368756","2.080207","49","3326.9"
"997-5","41.369172","2.080526","50","3380.2"
"997-5","41.369316","2.08066","51","3399.8"
"997-5","41.375539","2.086771","52","4259.3"
"997-5","41.375783","2.087029","53","4294"
"997-5","41.375895","2.087165","54","4310.8"
"997-5","41.376186","2.087601","55","4359.5"
"997-5","41.377043","2.089044","56","4513.1"
"997-5","41.377154","2.089259","57","4534.8"
"997-5","41.377198","2.08941","58","4548.3"
"997-5","41.377213","2.089531","59","4558.6"
"997-5","41.377208","2.08981","60","4581.9"
"997-5","41.376722","2.096535","61","5145.6"
"997-5","41.375979","2.107179","62","6037.5"
"997-5","41.375913","2.11015","63","6285.5"
"997-5","41.375918","2.110265","64","6295.2"
"997-5","41.375937","2.110345","65","6302.2"
"997-5","41.375988","2.110444","66","6312.2"
"997-5","41.37607","2.110524","67","6323.5"
"997-5","41.376791","2.111007","68","6413.2"
"997-5","41.377433","2.111466","69","6494.2"
"997-5","41.379073","2.112879","70","6711.4"
"997-5","41.379214","2.11306","71","6733.1"
"997-5","41.379645","2.113901","72","6818.1"
"997-5","41.379791","2.11413","73","6843.2"
"997-5","41.379918","2.114296","74","6863"
"997-5","41.380092","2.114478","75","6887.6"
"997-5","41.380342","2.11468","76","6920.1"
"997-5","41.380635","2.114867","77","6956.2"
"997-5","41.380882","2.114992","78","6985.6"
"997-5","41.381894","2.115419","79","7103.6"
"997-5","41.382022","2.11545","80","7118.1"
"997-5","41.382121","2.115447","81","7129.1"
"997-5","41.382513","2.11529","82","7174.6"
"997-5","41.38459","2.114353","83","7418.4"
"997-5","41.384668","2.114345","84","7427.1"
"997-5","41.384742","2.114364","85","7435.5"
"997-5","41.384839","2.11444","86","7448"
"997-5","41.384887","2.114515","87","7456.2"
"997-5","41.384953","2.114727","88","7475.4"
"997-5","41.391718","2.141367","89","9821.6"
"997-5","41.391833","2.141704","90","9852.5"
"997-5","41.39202","2.142367","91","9911.6"
"997-5","41.392217","2.143138","92","9979.6"
"997-12","41.37936","2.053356","0","0"
"997-12","41.379575","2.054318","1","83.7"
"997-12","41.379656","2.05504","2","144.7"
"997-12","41.379648","2.055327","3","168.6"
"997-12","41.379692","2.05585","4","212.5"
"997-12","41.379706","2.059827","5","544.4"
"997-12","41.379829","2.065205","6","993.3"
"997-12","41.3798","2.065776","7","1041"
"997-12","41.379748","2.066373","8","1091.2"
"997-12","41.379196","2.071578","9","1529.8"
"997-12","41.378747","2.075539","10","1864"
"997-12","41.378716","2.075925","11","1896.4"
"997-12","41.378654","2.076175","12","1918.4"
"997-12","41.37859","2.076278","13","1929.5"
"997-12","41.378412","2.076387","14","1951.3"
"997-12","41.376307","2.077417","15","2200.6"
"997-12","41.37617","2.077466","16","2216.4"
"997-12","41.37606","2.077464","17","2228.6"
"997-12","41.375914","2.077395","18","2245.9"
"997-12","41.375823","2.077277","19","2260"
"997-12","41.375779","2.077163","20","2270.7"
"997-12","41.375675","2.076684","21","2312.3"
"997-12","41.37563","2.076545","22","2324.9"
"997-12","41.375575","2.076436","23","2335.9"
"997-12","41.375442","2.076284","24","2355.4"
"997-12","41.375306","2.076202","25","2372"
"997-12","41.374172","2.075759","26","2503.4"
"997-12","41.374021","2.075686","27","2521.2"
"997-12","41.37389","2.075591","28","2537.8"
"997-12","41.373263","2.075023","29","2622.1"
"997-12","41.373103","2.074954","30","2640.8"
"997-12","41.372955","2.07496","31","2657.3"
"997-12","41.372846","2.075008","32","2670"
"997-12","41.372723","2.075121","33","2686.7"
"997-12","41.371778","2.076598","34","2848.6"
"997-12","41.371734","2.076648","35","2855.1"
