"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"997-ST-172","172","Francesc Macià","FRMC","41.392222","2.143135","","","1","","","0","",""
"997-ST-173","173","L'Illa","ILLA","41.390524","2.136522","","","1","","","0","",""
"997-ST-174","174","Numància","NMNC","41.389368","2.131961","","","1","","","0","",""
"997-ST-175","175","Maria Cristina","MRCR","41.387986","2.126498","","","1","","","0","",""
"997-ST-176","176","Pius Xii","PIUS","41.38674","2.121604","","","1","","","0","",""
"997-ST-177","177","Palau Reial","PLRL","41.385944","2.118468","","","1","","","0","",""
"997-ST-178","178","Z.Universitària","UNIV","41.384262","2.11441","","","1","","","0","",""
"997-ST-179","179","Avinguda de Xile","XILE","41.380757","2.114796","","","1","","","0","",""
"997-ST-180","180","Ernest Lluch","LLUC","41.376692","2.110769","","","1","","","0","",""
"997-ST-181","181","Can Rigal","RIGL","41.3761","2.105938","","","1","","","0","",""
"997-ST-182","182","Ca n'Oliveres","OLIV","41.376625","2.098415","","","1","","","0","",""
"997-ST-183","183","Can Clota","CLOT","41.376967","2.093533","","","1","","","0","",""
"997-ST-186","186","Pont d'Esplugues","PTSP","41.376857","2.08861","","","1","","","0","",""
"997-ST-187","187","La Sardana","SRDN","41.372794","2.083979","","","1","","","0","",""
"997-ST-188","188","Montesa","MNTS","41.369674","2.080903","","","1","","","0","",""
"997-ST-189","189","El Pedró","PDRO","41.365338","2.07666","","","1","","","0","",""
"997-ST-190","190","Ignasi Iglésias","IIGL","41.361256","2.072664","","","1","","","0","",""
"997-ST-191","191","Cornellà Centre","CNLL","41.357681","2.070199","","","1","","","0","",""
"997-ST-192","192","Les Aigües","AIGU","41.356667","2.066099","","","1","","","0","",""
"997-ST-193","193","Fontsanta|Fatjó","FTJO","41.360337","2.062241","","","1","","","0","",""
"997-ST-194","194","Bon Viatge","BVIA","41.364698","2.05891","","","1","","","0","",""
"997-ST-195","195","La Fontsanta","FSTA","41.367767","2.062966","","","1","","","0","",""
