"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"997-2","997-merged_c71aba43e390ca4bfe61","997-2476_0188","Llevant-L.Planes","","","LT01","997-1","",""
"997-2","997-merged_c71aba43e390ca4bfe61","997-2476_0189","Francesc Macià","","","LT01","997-2","",""
"997-2","997-merged_c71aba43e390ca4bfe61","997-2476_0190","Llevant-L.Planes","","","LT01","997-1","",""
"997-2","997-merged_c71aba43e390ca4bfe61","997-2476_0001","Francesc Macià","","","LT01","997-3","",""
"997-3","997-merged_c71aba43e390ca4bfe61","997-2476_0356","Sant Feliu|C.C.","","","LT01","997-4","",""
"997-3","997-merged_499626346f23e4eabdab","997-2476_0357","Francesc Macià","","","LT01","997-5","",""
"997-1","997-merged_c71aba43e390ca4bfe61","997-2476_0019","Bon Viatge","","","LT01","997-6","",""
"997-1","997-merged_c71aba43e390ca4bfe61","997-2476_0020","Francesc Macià","","","LT01","997-7","",""
"997-1","997-merged_c71aba43e390ca4bfe61","997-2476_0123","Bon Viatge","","","LT01","997-8","",""
"997-1","997-merged_c71aba43e390ca4bfe61","997-2476_0124","Francesc Macià","","","LT01","997-9","",""
"997-1","997-merged_c71aba43e390ca4bfe61","997-2476_0125","Bon Viatge","","","LT01","997-6","",""
"997-1","997-merged_c71aba43e390ca4bfe61","997-2476_0126","Francesc Macià","","","LT01","997-7","",""
"997-1","997-merged_c71aba43e390ca4bfe61","997-2476_0127","Bon Viatge","","","LT01","997-8","",""
"997-1","997-merged_c71aba43e390ca4bfe61","997-2476_0128","Francesc Macià","","","LT01","997-9","",""
"997-1","997-2476","997-2476_0129","Bon Viatge","","","LT01","997-6","",""
"997-1","997-merged_499626346f23e4eabdab","997-2476_0130","Francesc Macià","","","LT01","997-7","",""
"997-1","997-2476","997-2476_0131","Bon Viatge","","","LT01","997-8","",""
"997-1","997-2476","997-2476_0132","Francesc Macià","","","LT01","997-7","",""
"997-3","997-2476","997-2476_0505","Sant Feliu|C.C.","","","LT01","997-4","",""
"997-3","997-2476","997-2476_0506","Francesc Macià","","","LT01","997-5","",""
"997-1","997-2476","997-2476_0135","Bon Viatge","","","LT01","997-6","",""
"997-1","997-2476","997-2476_0136","Francesc Macià","","","LT01","997-7","",""
"997-2","997-2476","997-2476_0343","Llevant-L.Planes","","","LT01","997-10","",""
"997-2","997-merged_499626346f23e4eabdab","997-2476_0344","Francesc Macià","","","LT01","997-3","",""
"997-3","997-merged_499626346f23e4eabdab","997-2476_0410","Sant Feliu|C.C.","","","LT01","997-4","",""
"997-3","997-merged_499626346f23e4eabdab","997-2476_0411","Francesc Macià","","","LT01","997-5","",""
"997-2","997-2476","997-2476_0237","Llevant-L.Planes","","","LT01","997-1","",""
"997-3","997-merged_c71aba43e390ca4bfe61","997-2476_0352","Sant Feliu|C.C.","","","LT02","997-11","",""
